Name,Link,Unit Price,Quantity,Total Price,Column 1,Overall Price:,297.79,,,Watts:
V6 Hotend Mount,https://www.aliexpress.us/item/3256803323301635.html?spm=a2g0o.productlist.main.1.22f241529Y1Dv5&algo_pvid=7ed92203-cdd2-4d9b-9778-a3c5abaa298f&algo_exp_id=7ed92203-cdd2-4d9b-9778-a3c5abaa298f-0&pdp_ext_f=%7B%22order%22%3A%22194%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.97%211.97%21%21%211.97%211.97%21%402103245417427649615583920ec41b%2112000026109523944%21sea%21US%210%21ABX&curPageLogUid=nS5WThuHLrPg&utparam-url=scene%3Asearch%7Cquery_from%3A,1.97,1,1.97,,,,,,40
V6 Volcano (24V),https://www.aliexpress.us/item/3256804654503285.html?spm=a2g0o.productlist.main.43.2cf93911ZCTgaJ&algo_pvid=6e1eb34f-a7b0-46b2-85c8-be54edfbcb4a&algo_exp_id=6e1eb34f-a7b0-46b2-85c8-be54edfbcb4a-21&pdp_ext_f=%7B%22order%22%3A%2241%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2112.55%210.99%21%21%2112.55%210.99%21%402101d9ef17427639061594361e5ee6%2112000030698864760%21sea%21US%210%21ABX&curPageLogUid=RoBGdEEm9lla&utparam-url=scene%3Asearch%7Cquery_from%3A,14.35,1,14.35,,,,,,
HGX Lite,https://www.aliexpress.us/item/3256806459031604.html?spm=a2g0o.productlist.main.7.56a54d298fuzbY&aem_p4p_detail=2025032314103915017738802621720002001404&algo_pvid=9b93bcaf-c4e2-458c-8010-cdba0d65ba6a&algo_exp_id=9b93bcaf-c4e2-458c-8010-cdba0d65ba6a-3&pdp_ext_f=%7B%22order%22%3A%2254%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%219.44%211.44%21%21%2168.04%2110.36%21%402103205217427642398883830e733c%2112000037912265377%21sea%21US%210%21ABX&curPageLogUid=WMNOGrmzostZ&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025032314103915017738802621720002001404_1,13.95,1,13.95,,,,,,2.5
Bed,"https://www.aliexpress.us/item/3256801613482504.html?spm=a2g0o.detail.similar_items.2.6003TwrYTwrYlM&utparam-url=scene%3Aimage_search%7Cquery_from%3Aapp_pdp_sold_out&algo_pvid=6e270c4b-d14c-4329-ac5d-71d498098339&algo_exp_id=6e270c4b-d14c-4329-ac5d-71d498098339&pdp_ext_f=%7B""order""%3A""20""%7D&pdp_npi=4%40dis%21USD%2116.04%2116.04%21%21%2116.04%2116.04%21%402101590d17427667632826001e3fe8%2112000037523851234%21sea%21US%210%21ABX&gatewayAdapt=4itemAdapt",33.37,1,33.37,,,,,,250
Linear Rail,"https://www.aliexpress.us/item/3256805276583770.html?spm=a2g0o.productlist.main.77.29ec5a32a64udH&algo_pvid=5d2d12e7-4734-47e1-b087-876a813007d9&algo_exp_id=5d2d12e7-4734-47e1-b087-876a813007d9-38&pdp_ext_f=%7B""order""%3A""73""%2C""eval""%3A""1""%7D&pdp_npi=4%40dis%21USD%2145.90%2139.93%21%21%2145.90%2139.93%21%402103245417427783115827954ec419%2112000033181679456%21sea%21US%210%21ABX&curPageLogUid=7BAC3KVxrxVC&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification",54.16,1,54.16,,,,,,
Z Screw / Stepper,"https://www.aliexpress.us/item/2251832806786426.html?spm=a2g0o.productlist.main.11.581378eaqxWxvs&algo_pvid=483bd3d1-d167-4160-97e7-74c72940adec&algo_exp_id=483bd3d1-d167-4160-97e7-74c72940adec-8&pdp_ext_f=%7B""order""%3A""126""%2C""eval""%3A""1""%7D&pdp_npi=4%40dis%21USD%2121.85%2112.32%21%21%2121.85%2112.32%21%402101c5b217427696558328234edb6e%2166907861709%21sea%21US%210%21ABX&curPageLogUid=1Mh4iCpsMPVC&utparam-url=scene%3Asearch%7Cquery_from%3A",12.32,2,24.64,,,,,,62.4
2020 Rail,https://www.3dprintronics.com/products/v-slot-aluminium-extrusion-2020-silver,40,1,40,"*Placeholder value, emailing to get price for custom cuts",,,,,
Klicky,https://www.aliexpress.us/item/3256804838146070.html?gatewayAdapt=glo2usa#nav-specification,4.13,1,4.13,,,,,,
T-Slot Nut (100 M3),"https://www.aliexpress.us/item/2251832628044342.html?spm=a2g0o.productlist.main.3.3a8422bc3MccrC&algo_pvid=c9158665-84c5-479d-a3c5-13fc770ca139&algo_exp_id=c9158665-84c5-479d-a3c5-13fc770ca139-1&pdp_ext_f=%7B""order""%3A""3579""%2C""eval""%3A""1""%7D&pdp_npi=4%40dis%21USD%211.10%210.99%21%21%211.10%210.99%21%402101eac917428012770888165e69ef%2110000000587253401%21sea%21US%210%21ABX&curPageLogUid=OOvt3z6Wz7IS&utparam-url=scene%3Asearch%7Cquery_from%3A",3.76,1,3.76,,,,,,
Stepper Motors,https://www.amazon.com/dp/B07Y2SVNGP/ref=twister_B0CD7Q83B8?_encoding=UTF8&th=1,6.99,2,13.98,,,,,,72
